time;logger;level;message;exception
2012-05-05 18:04:45.2191;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:50.2724;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:55.3327;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'RavenDB/ISEL' was found;
2012-05-05 18:04:56.7498;Raven.Database.Server.HttpServer;Warn;Error on request;"System.InvalidOperationException: Index 'Raven/DocumentsByEntityName' does not exist
   at Raven.Database.Indexing.IndexStorage.GetIndexByName(String indexName) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 407
   at Raven.Database.Indexing.IndexStorage.GetCurrentIndexSearcher(String indexName, IndexSearcher& searcher) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 398
   at Raven.Database.Queries.TermsQueryRunner.GetTerms(String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunner.cs:line 30
   at Raven.Database.Queries.TermsQueryRunnerExtensions.ExecuteGetTermsQuery(DocumentDatabase self, String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunnerExtensions.cs:line 15
   at Raven.Database.Server.Responders.Terms.Respond(IHttpContext context) in c:\Builds\RavenDB-Stable\Raven.Database\Server\Responders\Terms.cs:line 38
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 548
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 315"
2012-05-05 18:04:56.7498;Raven.Database.Server.HttpServer;Debug;Request #  10: GET     -    35 ms - <default>  - 500 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=1337562756;
2012-05-05 18:04:56.8088;Raven.Database.Server.HttpServer;Warn;Error on request;"System.InvalidOperationException: Index 'Raven/DocumentsByEntityName' does not exist
   at Raven.Database.Indexing.IndexStorage.GetIndexByName(String indexName) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 407
   at Raven.Database.Indexing.IndexStorage.GetCurrentIndexSearcher(String indexName, IndexSearcher& searcher) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 398
   at Raven.Database.Queries.TermsQueryRunner.GetTerms(String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunner.cs:line 30
   at Raven.Database.Queries.TermsQueryRunnerExtensions.ExecuteGetTermsQuery(DocumentDatabase self, String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunnerExtensions.cs:line 15
   at Raven.Database.Server.Responders.Terms.Respond(IHttpContext context) in c:\Builds\RavenDB-Stable\Raven.Database\Server\Responders\Terms.cs:line 38
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 548
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 315"
2012-05-05 18:04:58.3589;Raven.Database.Server.HttpServer;Warn;Error on request;"System.InvalidOperationException: Index 'Raven/DocumentsByEntityName' does not exist
   at Raven.Database.Indexing.IndexStorage.GetIndexByName(String indexName) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 407
   at Raven.Database.Indexing.IndexStorage.GetCurrentIndexSearcher(String indexName, IndexSearcher& searcher) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\IndexStorage.cs:line 398
   at Raven.Database.Queries.TermsQueryRunner.GetTerms(String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunner.cs:line 30
   at Raven.Database.Queries.TermsQueryRunnerExtensions.ExecuteGetTermsQuery(DocumentDatabase self, String index, String field, String fromValue, Int32 pageSize) in c:\Builds\RavenDB-Stable\Raven.Database\Queries\TermsQueryRunnerExtensions.cs:line 15
   at Raven.Database.Server.Responders.Terms.Respond(IHttpContext context) in c:\Builds\RavenDB-Stable\Raven.Database\Server\Responders\Terms.cs:line 38
   at Raven.Database.Server.HttpServer.DispatchRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 548
   at Raven.Database.Server.HttpServer.HandleActualRequest(IHttpContext ctx) in c:\Builds\RavenDB-Stable\Raven.Database\Server\HttpServer.cs:line 315"
2012-05-05 18:05:19.4201;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-05-05 18:05:19.4561;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2012-05-05 18:05:19.5361;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
